dates,scenario,18-49,5-17,50-64,0-4,65+
2024-10-12,C_D,65171.71428571428,47266.42857142857,42617.0,15732.42857142857,34920.42857142857
2024-10-13,C_D,65171.71428571428,47266.42857142857,42617.0,15732.42857142857,34920.42857142857
2024-10-14,C_D,65171.71428571428,47266.42857142857,42617.0,15732.42857142857,34920.42857142857
2024-10-15,C_D,65171.71428571428,47266.42857142857,42617.0,15732.42857142857,34920.42857142857
2024-10-16,C_D,65171.71428571428,47266.42857142857,42617.0,15732.42857142857,34920.42857142857
2024-10-17,C_D,65171.71428571428,47266.42857142857,42617.0,15732.42857142857,34920.42857142857
2024-10-18,C_D,65171.71428571428,47266.42857142857,42617.0,15732.42857142857,34920.42857142857
2024-10-19,C_D,66739.71428571429,46840.28571428572,43138.142857142855,15428.0,33705.42857142857
2024-10-20,C_D,66739.71428571429,46840.28571428572,43138.142857142855,15428.0,33705.42857142857
2024-10-21,C_D,66739.71428571429,46840.28571428572,43138.142857142855,15428.0,33705.42857142857
2024-10-22,C_D,66739.71428571429,46840.28571428572,43138.142857142855,15428.0,33705.42857142857
2024-10-23,C_D,66739.71428571429,46840.28571428572,43138.142857142855,15428.0,33705.42857142857
2024-10-24,C_D,66739.71428571429,46840.28571428572,43138.142857142855,15428.0,33705.42857142857
2024-10-25,C_D,66739.71428571429,46840.28571428572,43138.142857142855,15428.0,33705.42857142857
2024-10-26,C_D,63010.857142857145,40534.857142857145,39072.857142857145,14558.714285714286,29846.285714285714
2024-10-27,C_D,63010.857142857145,40534.857142857145,39072.857142857145,14558.714285714286,29846.285714285714
2024-10-28,C_D,63010.857142857145,40534.857142857145,39072.857142857145,14558.714285714286,29846.285714285714
2024-10-29,C_D,63010.857142857145,40534.857142857145,39072.857142857145,14558.714285714286,29846.285714285714
2024-10-30,C_D,63010.857142857145,40534.857142857145,39072.857142857145,14558.714285714286,29846.285714285714
2024-10-31,C_D,63010.857142857145,40534.857142857145,39072.857142857145,14558.714285714286,29846.285714285714
2024-11-01,C_D,63010.857142857145,40534.857142857145,39072.857142857145,14558.714285714286,29846.285714285714
2024-11-02,C_D,58459.42857142857,33145.57142857143,34276.71428571428,13657.285714285714,25900.428571428572
2024-11-03,C_D,58459.42857142857,33145.57142857143,34276.71428571428,13657.285714285714,25900.428571428572
2024-11-04,C_D,58459.42857142857,33145.57142857143,34276.71428571428,13657.285714285714,25900.428571428572
2024-11-05,C_D,58459.42857142857,33145.57142857143,34276.71428571428,13657.285714285714,25900.428571428572
2024-11-06,C_D,58459.42857142857,33145.57142857143,34276.71428571428,13657.285714285714,25900.428571428572
2024-11-07,C_D,58459.42857142857,33145.57142857143,34276.71428571428,13657.285714285714,25900.428571428572
2024-11-08,C_D,58459.42857142857,33145.57142857143,34276.71428571428,13657.285714285714,25900.428571428572
2024-11-09,C_D,54456.71428571428,27506.285714285714,30333.14285714286,12831.0,22650.14285714286
2024-11-10,C_D,54456.71428571428,27506.285714285714,30333.14285714286,12831.0,22650.14285714286
2024-11-11,C_D,54456.71428571428,27506.285714285714,30333.14285714286,12831.0,22650.14285714286
2024-11-12,C_D,54456.71428571428,27506.285714285714,30333.14285714286,12831.0,22650.14285714286
2024-11-13,C_D,54456.71428571428,27506.285714285714,30333.14285714286,12831.0,22650.14285714286
2024-11-14,C_D,54456.71428571428,27506.285714285714,30333.14285714286,12831.0,22650.14285714286
2024-11-15,C_D,54456.71428571428,27506.285714285714,30333.14285714286,12831.0,22650.14285714286
2024-11-16,C_D,50122.42857142857,24524.14285714286,27028.714285714286,11898.714285714286,19590.14285714286
2024-11-17,C_D,50122.42857142857,24524.14285714286,27028.714285714286,11898.714285714286,19590.14285714286
2024-11-18,C_D,50122.42857142857,24524.14285714286,27028.714285714286,11898.714285714286,19590.14285714286
2024-11-19,C_D,50122.42857142857,24524.14285714286,27028.714285714286,11898.714285714286,19590.14285714286
2024-11-20,C_D,50122.42857142857,24524.14285714286,27028.714285714286,11898.714285714286,19590.14285714286
2024-11-21,C_D,50122.42857142857,24524.14285714286,27028.714285714286,11898.714285714286,19590.14285714286
2024-11-22,C_D,50122.42857142857,24524.14285714286,27028.714285714286,11898.714285714286,19590.14285714286
2024-11-23,C_D,42722.28571428572,22221.285714285714,22304.0,10511.142857142857,15164.857142857143
2024-11-24,C_D,42722.28571428572,22221.285714285714,22304.0,10511.142857142857,15164.857142857143
2024-11-25,C_D,42722.28571428572,22221.285714285714,22304.0,10511.142857142857,15164.857142857143
2024-11-26,C_D,42722.28571428572,22221.285714285714,22304.0,10511.142857142857,15164.857142857143
2024-11-27,C_D,42722.28571428572,22221.285714285714,22304.0,10511.142857142857,15164.857142857143
2024-11-28,C_D,42722.28571428572,22221.285714285714,22304.0,10511.142857142857,15164.857142857143
2024-11-29,C_D,42722.28571428572,22221.285714285714,22304.0,10511.142857142857,15164.857142857143
2024-11-30,C_D,34836.142857142855,20520.14285714286,17620.571428571428,9114.285714285714,10848.0
2024-12-01,C_D,34836.142857142855,20520.14285714286,17620.571428571428,9114.285714285714,10848.0
2024-12-02,C_D,34836.142857142855,20520.14285714286,17620.571428571428,9114.285714285714,10848.0
2024-12-03,C_D,34836.142857142855,20520.14285714286,17620.571428571428,9114.285714285714,10848.0
2024-12-04,C_D,34836.142857142855,20520.14285714286,17620.571428571428,9114.285714285714,10848.0
2024-12-05,C_D,34836.142857142855,20520.14285714286,17620.571428571428,9114.285714285714,10848.0
2024-12-06,C_D,34836.142857142855,20520.14285714286,17620.571428571428,9114.285714285714,10848.0
2024-12-07,C_D,28341.14285714286,19070.714285714286,13913.714285714286,7928.714285714285,7624.714285714285
2024-12-08,C_D,28341.14285714286,19070.714285714286,13913.714285714286,7928.714285714285,7624.714285714285
2024-12-09,C_D,28341.14285714286,19070.714285714286,13913.714285714286,7928.714285714285,7624.714285714285
2024-12-10,C_D,28341.14285714286,19070.714285714286,13913.714285714286,7928.714285714285,7624.714285714285
2024-12-11,C_D,28341.14285714286,19070.714285714286,13913.714285714286,7928.714285714285,7624.714285714285
2024-12-12,C_D,28341.14285714286,19070.714285714286,13913.714285714286,7928.714285714285,7624.714285714285
2024-12-13,C_D,28341.14285714286,19070.714285714286,13913.714285714286,7928.714285714285,7624.714285714285
2024-12-14,C_D,24500.85714285714,17468.571428571428,11744.285714285714,7051.0,6113.428571428572
2024-12-15,C_D,24500.85714285714,17468.571428571428,11744.285714285714,7051.0,6113.428571428572
2024-12-16,C_D,24500.85714285714,17468.571428571428,11744.285714285714,7051.0,6113.428571428572
2024-12-17,C_D,24500.85714285714,17468.571428571428,11744.285714285714,7051.0,6113.428571428572
2024-12-18,C_D,24500.85714285714,17468.571428571428,11744.285714285714,7051.0,6113.428571428572
2024-12-19,C_D,24500.85714285714,17468.571428571428,11744.285714285714,7051.0,6113.428571428572
2024-12-20,C_D,24500.85714285714,17468.571428571428,11744.285714285714,7051.0,6113.428571428572
2024-12-21,C_D,22357.85714285714,15378.857142857143,10418.42857142857,6207.571428571428,5671.571428571428
2024-12-22,C_D,22357.85714285714,15378.857142857143,10418.42857142857,6207.571428571428,5671.571428571428
2024-12-23,C_D,22357.85714285714,15378.857142857143,10418.42857142857,6207.571428571428,5671.571428571428
2024-12-24,C_D,22357.85714285714,15378.857142857143,10418.42857142857,6207.571428571428,5671.571428571428
2024-12-25,C_D,22357.85714285714,15378.857142857143,10418.42857142857,6207.571428571428,5671.571428571428
2024-12-26,C_D,22357.85714285714,15378.857142857143,10418.42857142857,6207.571428571428,5671.571428571428
2024-12-27,C_D,22357.85714285714,15378.857142857143,10418.42857142857,6207.571428571428,5671.571428571428
2024-12-28,C_D,21058.285714285714,13250.857142857143,9496.142857142857,5463.285714285715,5796.857142857143
2024-12-29,C_D,21058.285714285714,13250.857142857143,9496.142857142857,5463.285714285715,5796.857142857143
2024-12-30,C_D,21058.285714285714,13250.857142857143,9496.142857142857,5463.285714285715,5796.857142857143
2024-12-31,C_D,21058.285714285714,13250.857142857143,9496.142857142857,5463.285714285715,5796.857142857143
2025-01-01,C_D,21058.285714285714,13250.857142857143,9496.142857142857,5463.285714285715,5796.857142857143
2025-01-02,C_D,21058.285714285714,13250.857142857143,9496.142857142857,5463.285714285715,5796.857142857143
2025-01-03,C_D,21058.285714285714,13250.857142857143,9496.142857142857,5463.285714285715,5796.857142857143
2025-01-04,C_D,20001.428571428572,11449.714285714286,8726.285714285714,4851.714285714285,6037.714285714285
2025-01-05,C_D,20001.428571428572,11449.714285714286,8726.285714285714,4851.714285714285,6037.714285714285
2025-01-06,C_D,20001.428571428572,11449.714285714286,8726.285714285714,4851.714285714285,6037.714285714285
2025-01-07,C_D,20001.428571428572,11449.714285714286,8726.285714285714,4851.714285714285,6037.714285714285
2025-01-08,C_D,20001.428571428572,11449.714285714286,8726.285714285714,4851.714285714285,6037.714285714285
2025-01-09,C_D,20001.428571428572,11449.714285714286,8726.285714285714,4851.714285714285,6037.714285714285
2025-01-10,C_D,20001.428571428572,11449.714285714286,8726.285714285714,4851.714285714285,6037.714285714285
2025-01-11,C_D,18920.285714285714,10081.285714285714,8031.857142857143,4334.0,6101.857142857143
2025-01-12,C_D,18920.285714285714,10081.285714285714,8031.857142857143,4334.0,6101.857142857143
2025-01-13,C_D,18920.285714285714,10081.285714285714,8031.857142857143,4334.0,6101.857142857143
2025-01-14,C_D,18920.285714285714,10081.285714285714,8031.857142857143,4334.0,6101.857142857143
2025-01-15,C_D,18920.285714285714,10081.285714285714,8031.857142857143,4334.0,6101.857142857143
2025-01-16,C_D,18920.285714285714,10081.285714285714,8031.857142857143,4334.0,6101.857142857143
2025-01-17,C_D,18920.285714285714,10081.285714285714,8031.857142857143,4334.0,6101.857142857143
2025-01-18,C_D,18205.285714285714,8783.57142857143,7652.142857142857,3767.0,6080.0
2025-01-19,C_D,18205.285714285714,8783.57142857143,7652.142857142857,3767.0,6080.0
2025-01-20,C_D,18205.285714285714,8783.57142857143,7652.142857142857,3767.0,6080.0
2025-01-21,C_D,18205.285714285714,8783.57142857143,7652.142857142857,3767.0,6080.0
2025-01-22,C_D,18205.285714285714,8783.57142857143,7652.142857142857,3767.0,6080.0
2025-01-23,C_D,18205.285714285714,8783.57142857143,7652.142857142857,3767.0,6080.0
2025-01-24,C_D,18205.285714285714,8783.57142857143,7652.142857142857,3767.0,6080.0
2025-01-25,C_D,18294.14285714286,7389.142857142857,7807.857142857143,3105.8571428571427,6258.285714285715
2025-01-26,C_D,18294.14285714286,7389.142857142857,7807.857142857143,3105.8571428571427,6258.285714285715
2025-01-27,C_D,18294.14285714286,7389.142857142857,7807.857142857143,3105.8571428571427,6258.285714285715
2025-01-28,C_D,18294.14285714286,7389.142857142857,7807.857142857143,3105.8571428571427,6258.285714285715
2025-01-29,C_D,18294.14285714286,7389.142857142857,7807.857142857143,3105.8571428571427,6258.285714285715
2025-01-30,C_D,18294.14285714286,7389.142857142857,7807.857142857143,3105.8571428571427,6258.285714285715
2025-01-31,C_D,18294.14285714286,7389.142857142857,7807.857142857143,3105.8571428571427,6258.285714285715
2025-02-01,C_D,19011.14285714286,6190.428571428572,8349.0,2477.0,6741.285714285715
2025-02-02,C_D,19011.14285714286,6190.428571428572,8349.0,2477.0,6741.285714285715
2025-02-03,C_D,19011.14285714286,6190.428571428572,8349.0,2477.0,6741.285714285715
2025-02-04,C_D,19011.14285714286,6190.428571428572,8349.0,2477.0,6741.285714285715
2025-02-05,C_D,19011.14285714286,6190.428571428572,8349.0,2477.0,6741.285714285715
2025-02-06,C_D,19011.14285714286,6190.428571428572,8349.0,2477.0,6741.285714285715
2025-02-07,C_D,19011.14285714286,6190.428571428572,8349.0,2477.0,6741.285714285715
2025-02-08,C_D,19390.0,5317.428571428572,8692.857142857143,1994.4285714285713,7028.142857142857
2025-02-09,C_D,19390.0,5317.428571428572,8692.857142857143,1994.4285714285713,7028.142857142857
2025-02-10,C_D,19390.0,5317.428571428572,8692.857142857143,1994.4285714285713,7028.142857142857
2025-02-11,C_D,19390.0,5317.428571428572,8692.857142857143,1994.4285714285713,7028.142857142857
2025-02-12,C_D,19390.0,5317.428571428572,8692.857142857143,1994.4285714285713,7028.142857142857
2025-02-13,C_D,19390.0,5317.428571428572,8692.857142857143,1994.4285714285713,7028.142857142857
2025-02-14,C_D,19390.0,5317.428571428572,8692.857142857143,1994.4285714285713,7028.142857142857
2025-02-15,C_D,18318.85714285714,4803.0,8189.142857142857,1743.142857142857,6457.714285714285
2025-02-16,C_D,18318.85714285714,4803.0,8189.142857142857,1743.142857142857,6457.714285714285
2025-02-17,C_D,18318.85714285714,4803.0,8189.142857142857,1743.142857142857,6457.714285714285
2025-02-18,C_D,18318.85714285714,4803.0,8189.142857142857,1743.142857142857,6457.714285714285
2025-02-19,C_D,18318.85714285714,4803.0,8189.142857142857,1743.142857142857,6457.714285714285
2025-02-20,C_D,18318.85714285714,4803.0,8189.142857142857,1743.142857142857,6457.714285714285
2025-02-21,C_D,18318.85714285714,4803.0,8189.142857142857,1743.142857142857,6457.714285714285
2025-02-22,C_D,15364.57142857143,4527.714285714285,6665.571428571428,1691.2857142857142,4689.571428571428
2025-02-23,C_D,15364.57142857143,4527.714285714285,6665.571428571428,1691.2857142857142,4689.571428571428
2025-02-24,C_D,15364.57142857143,4527.714285714285,6665.571428571428,1691.2857142857142,4689.571428571428
2025-02-25,C_D,15364.57142857143,4527.714285714285,6665.571428571428,1691.2857142857142,4689.571428571428
2025-02-26,C_D,15364.57142857143,4527.714285714285,6665.571428571428,1691.2857142857142,4689.571428571428
2025-02-27,C_D,15364.57142857143,4527.714285714285,6665.571428571428,1691.2857142857142,4689.571428571428
2025-02-28,C_D,15364.57142857143,4527.714285714285,6665.571428571428,1691.2857142857142,4689.571428571428
2025-03-01,C_D,12061.285714285714,4506.714285714285,5071.285714285715,1738.7142857142858,2823.1428571428573
2025-03-02,C_D,12061.285714285714,4506.714285714285,5071.285714285715,1738.7142857142858,2823.1428571428573
2025-03-03,C_D,12061.285714285714,4506.714285714285,5071.285714285715,1738.7142857142858,2823.1428571428573
2025-03-04,C_D,12061.285714285714,4506.714285714285,5071.285714285715,1738.7142857142858,2823.1428571428573
2025-03-05,C_D,12061.285714285714,4506.714285714285,5071.285714285715,1738.7142857142858,2823.1428571428573
2025-03-06,C_D,12061.285714285714,4506.714285714285,5071.285714285715,1738.7142857142858,2823.1428571428573
2025-03-07,C_D,12061.285714285714,4506.714285714285,5071.285714285715,1738.7142857142858,2823.1428571428573
2025-03-08,C_D,9455.57142857143,4500.428571428572,3859.5714285714284,1776.2857142857142,1540.5714285714287
2025-03-09,C_D,9455.57142857143,4500.428571428572,3859.5714285714284,1776.2857142857142,1540.5714285714287
2025-03-10,C_D,9455.57142857143,4500.428571428572,3859.5714285714284,1776.2857142857142,1540.5714285714287
2025-03-11,C_D,9455.57142857143,4500.428571428572,3859.5714285714284,1776.2857142857142,1540.5714285714287
2025-03-12,C_D,9455.57142857143,4500.428571428572,3859.5714285714284,1776.2857142857142,1540.5714285714287
2025-03-13,C_D,9455.57142857143,4500.428571428572,3859.5714285714284,1776.2857142857142,1540.5714285714287
2025-03-14,C_D,9455.57142857143,4500.428571428572,3859.5714285714284,1776.2857142857142,1540.5714285714287
2025-03-15,C_D,8155.142857142857,4203.428571428572,3169.5714285714284,1711.857142857143,1192.2857142857142
2025-03-16,C_D,8155.142857142857,4203.428571428572,3169.5714285714284,1711.857142857143,1192.2857142857142
2025-03-17,C_D,8155.142857142857,4203.428571428572,3169.5714285714284,1711.857142857143,1192.2857142857142
2025-03-18,C_D,8155.142857142857,4203.428571428572,3169.5714285714284,1711.857142857143,1192.2857142857142
2025-03-19,C_D,8155.142857142857,4203.428571428572,3169.5714285714284,1711.857142857143,1192.2857142857142
2025-03-20,C_D,8155.142857142857,4203.428571428572,3169.5714285714284,1711.857142857143,1192.2857142857142
2025-03-21,C_D,8155.142857142857,4203.428571428572,3169.5714285714284,1711.857142857143,1192.2857142857142
2025-03-22,C_D,7598.142857142857,3367.1428571428573,2452.0,1542.2857142857142,1298.142857142857
2025-03-23,C_D,7598.142857142857,3367.1428571428573,2452.0,1542.2857142857142,1298.142857142857
2025-03-24,C_D,7598.142857142857,3367.1428571428573,2452.0,1542.2857142857142,1298.142857142857
2025-03-25,C_D,7598.142857142857,3367.1428571428573,2452.0,1542.2857142857142,1298.142857142857
2025-03-26,C_D,7598.142857142857,3367.1428571428573,2452.0,1542.2857142857142,1298.142857142857
2025-03-27,C_D,7598.142857142857,3367.1428571428573,2452.0,1542.2857142857142,1298.142857142857
2025-03-28,C_D,7598.142857142857,3367.1428571428573,2452.0,1542.2857142857142,1298.142857142857
2025-03-29,C_D,7671.571428571428,2533.714285714286,1740.5714285714287,1390.142857142857,1783.4285714285713
2025-03-30,C_D,7671.571428571428,2533.714285714286,1740.5714285714287,1390.142857142857,1783.4285714285713
2025-03-31,C_D,7671.571428571428,2533.714285714286,1740.5714285714287,1390.142857142857,1783.4285714285713
2025-04-01,C_D,7671.571428571428,2533.714285714286,1740.5714285714287,1390.142857142857,1783.4285714285713
2025-04-02,C_D,7671.571428571428,2533.714285714286,1740.5714285714287,1390.142857142857,1783.4285714285713
2025-04-03,C_D,7671.571428571428,2533.714285714286,1740.5714285714287,1390.142857142857,1783.4285714285713
2025-04-04,C_D,7671.571428571428,2533.714285714286,1740.5714285714287,1390.142857142857,1783.4285714285713
2025-04-05,C_D,7873.0,1999.4285714285713,1172.7142857142858,1268.142857142857,2391.4285714285716
2025-04-06,C_D,7873.0,1999.4285714285713,1172.7142857142858,1268.142857142857,2391.4285714285716
2025-04-07,C_D,7873.0,1999.4285714285713,1172.7142857142858,1268.142857142857,2391.4285714285716
2025-04-08,C_D,7873.0,1999.4285714285713,1172.7142857142858,1268.142857142857,2391.4285714285716
2025-04-09,C_D,7873.0,1999.4285714285713,1172.7142857142858,1268.142857142857,2391.4285714285716
2025-04-10,C_D,7873.0,1999.4285714285713,1172.7142857142858,1268.142857142857,2391.4285714285716
2025-04-11,C_D,7873.0,1999.4285714285713,1172.7142857142858,1268.142857142857,2391.4285714285716
2025-04-12,C_D,7610.285714285715,1850.4285714285713,884.0,1129.7142857142858,2820.5714285714284
2025-04-13,C_D,7610.285714285715,1850.4285714285713,884.0,1129.7142857142858,2820.5714285714284
2025-04-14,C_D,7610.285714285715,1850.4285714285713,884.0,1129.7142857142858,2820.5714285714284
2025-04-15,C_D,7610.285714285715,1850.4285714285713,884.0,1129.7142857142858,2820.5714285714284
2025-04-16,C_D,7610.285714285715,1850.4285714285713,884.0,1129.7142857142858,2820.5714285714284
2025-04-17,C_D,7610.285714285715,1850.4285714285713,884.0,1129.7142857142858,2820.5714285714284
2025-04-18,C_D,7610.285714285715,1850.4285714285713,884.0,1129.7142857142858,2820.5714285714284
2025-04-19,C_D,6360.428571428572,1648.857142857143,939.0,814.5714285714286,2809.5714285714284
2025-04-20,C_D,6360.428571428572,1648.857142857143,939.0,814.5714285714286,2809.5714285714284
2025-04-21,C_D,6360.428571428572,1648.857142857143,939.0,814.5714285714286,2809.5714285714284
2025-04-22,C_D,6360.428571428572,1648.857142857143,939.0,814.5714285714286,2809.5714285714284
2025-04-23,C_D,6360.428571428572,1648.857142857143,939.0,814.5714285714286,2809.5714285714284
2025-04-24,C_D,6360.428571428572,1648.857142857143,939.0,814.5714285714286,2809.5714285714284
2025-04-25,C_D,6360.428571428572,1648.857142857143,939.0,814.5714285714286,2809.5714285714284
2025-04-26,C_D,4627.285714285715,1490.5714285714287,1370.5714285714287,412.7142857142857,2483.4285714285716
2025-04-27,C_D,4627.285714285715,1490.5714285714287,1370.5714285714287,412.7142857142857,2483.4285714285716
2025-04-28,C_D,4627.285714285715,1490.5714285714287,1370.5714285714287,412.7142857142857,2483.4285714285716
2025-04-29,C_D,4627.285714285715,1490.5714285714287,1370.5714285714287,412.7142857142857,2483.4285714285716
2025-04-30,C_D,4627.285714285715,1490.5714285714287,1370.5714285714287,412.7142857142857,2483.4285714285716
2025-05-01,C_D,4627.285714285715,1490.5714285714287,1370.5714285714287,412.7142857142857,2483.4285714285716
2025-05-02,C_D,4627.285714285715,1490.5714285714287,1370.5714285714287,412.7142857142857,2483.4285714285716
2025-05-03,C_D,3186.714285714286,1662.857142857143,2092.0,115.85714285714286,2108.285714285714
2025-05-04,C_D,3186.714285714286,1662.857142857143,2092.0,115.85714285714286,2108.285714285714
2025-05-05,C_D,3186.714285714286,1662.857142857143,2092.0,115.85714285714286,2108.285714285714
2025-05-06,C_D,3186.714285714286,1662.857142857143,2092.0,115.85714285714286,2108.285714285714
2025-05-07,C_D,3186.714285714286,1662.857142857143,2092.0,115.85714285714286,2108.285714285714
2025-05-08,C_D,3186.714285714286,1662.857142857143,2092.0,115.85714285714286,2108.285714285714
2025-05-09,C_D,3186.714285714286,1662.857142857143,2092.0,115.85714285714286,2108.285714285714
2025-05-10,C_D,2319.8571428571427,2183.714285714286,2924.5714285714284,0.0,1832.4285714285713
2025-05-11,C_D,2319.8571428571427,2183.714285714286,2924.5714285714284,0.0,1832.4285714285713
2025-05-12,C_D,2319.8571428571427,2183.714285714286,2924.5714285714284,0.0,1832.4285714285713
2025-05-13,C_D,2319.8571428571427,2183.714285714286,2924.5714285714284,0.0,1832.4285714285713
2025-05-14,C_D,2319.8571428571427,2183.714285714286,2924.5714285714284,0.0,1832.4285714285713
2025-05-15,C_D,2319.8571428571427,2183.714285714286,2924.5714285714284,0.0,1832.4285714285713
2025-05-16,C_D,2319.8571428571427,2183.714285714286,2924.5714285714284,0.0,1832.4285714285713
2025-05-17,C_D,1719.0,2797.285714285714,3655.8571428571427,0.0,1637.4285714285713
2025-05-18,C_D,1719.0,2797.285714285714,3655.8571428571427,0.0,1637.4285714285713
2025-05-19,C_D,1719.0,2797.285714285714,3655.8571428571427,0.0,1637.4285714285713
2025-05-20,C_D,1719.0,2797.285714285714,3655.8571428571427,0.0,1637.4285714285713
2025-05-21,C_D,1719.0,2797.285714285714,3655.8571428571427,0.0,1637.4285714285713
2025-05-22,C_D,1719.0,2797.285714285714,3655.8571428571427,0.0,1637.4285714285713
2025-05-23,C_D,1719.0,2797.285714285714,3655.8571428571427,0.0,1637.4285714285713
2025-05-24,C_D,889.2857142857143,3233.714285714286,4193.428571428572,0.0,1405.4285714285713
2025-05-25,C_D,889.2857142857143,3233.714285714286,4193.428571428572,0.0,1405.4285714285713
2025-05-26,C_D,889.2857142857143,3233.714285714286,4193.428571428572,0.0,1405.4285714285713
2025-05-27,C_D,889.2857142857143,3233.714285714286,4193.428571428572,0.0,1405.4285714285713
2025-05-28,C_D,889.2857142857143,3233.714285714286,4193.428571428572,0.0,1405.4285714285713
2025-05-29,C_D,889.2857142857143,3233.714285714286,4193.428571428572,0.0,1405.4285714285713
2025-05-30,C_D,889.2857142857143,3233.714285714286,4193.428571428572,0.0,1405.4285714285713
2025-05-31,C_D,-169.0,3493.5714285714284,4537.428571428572,0.0,1136.4285714285713
2025-06-01,C_D,-169.0,3493.5714285714284,4537.428571428572,0.0,1136.4285714285713
2025-06-02,C_D,-169.0,3493.5714285714284,4537.428571428572,0.0,1136.4285714285713
2025-06-03,C_D,-169.0,3493.5714285714284,4537.428571428572,0.0,1136.4285714285713
2025-06-04,C_D,-169.0,3493.5714285714284,4537.428571428572,0.0,1136.4285714285713
2025-06-05,C_D,-169.0,3493.5714285714284,4537.428571428572,0.0,1136.4285714285713
2025-06-06,C_D,-169.0,3493.5714285714284,4537.428571428572,0.0,1136.4285714285713
2025-06-07,C_D,0.0,0.0,0.0,0.0,0.0
2025-06-08,C_D,0.0,0.0,0.0,0.0,0.0
2025-06-09,C_D,0.0,0.0,0.0,0.0,0.0
2025-06-10,C_D,0.0,0.0,0.0,0.0,0.0
2025-06-11,C_D,0.0,0.0,0.0,0.0,0.0
2025-06-12,C_D,0.0,0.0,0.0,0.0,0.0
2025-06-13,C_D,0.0,0.0,0.0,0.0,0.0
2025-06-14,C_D,0.0,0.0,0.0,0.0,0.0
2025-06-15,C_D,0.0,0.0,0.0,0.0,0.0
2025-06-16,C_D,0.0,0.0,0.0,0.0,0.0
2025-06-17,C_D,0.0,0.0,0.0,0.0,0.0
2025-06-18,C_D,0.0,0.0,0.0,0.0,0.0
2025-06-19,C_D,0.0,0.0,0.0,0.0,0.0
2025-06-20,C_D,0.0,0.0,0.0,0.0,0.0
2025-06-21,C_D,0.0,0.0,0.0,0.0,0.0
